Date,Location,Site_name,Site_Abreviation,Box #,Chicks_collected (yes or no),Live bird weight (g),Growth (g/d),Chick collection comments
6/6/10,"Havana, IL",Emiquon North ,EN,937,yes,23.3,1.9,.
6/10/10,"Havana, IL",Emiquon North ,EN,922,yes,22.8,2.1,.
6/10/10,"Havana, IL",Emiquon South,ES,919,yes,19,1.6,.
6/13/10,"Havana, IL",Emiquon South,ES,903,yes,25.2,1.7,.
5/30/10,"Havana, IL",Emiquon South,ES,910,yes,20.3,1.7,.
6/6/10,"Havana, IL",Emiquon South,ES,914,yes,20.3,1.7,.
6/6/10,"Havana, IL",Emiquon South,ES,900,yes,20.4,1.7,.
6/6/10,"Havana, IL",Emiquon South,ES,917,yes,20.4,1.7,.
6/10/10,"Havana, IL",Emiquon South,ES,903,yes,21.2,1.8,.
6/7/10,"Havana, IL",Emiquon South ,ES,905,yes,21.2,1.8,.
6/1/10,"Havana, IL",Emiquon South,ES,912,yes,21.2,1.8,.
6/18/10,"Havana, IL",Emiquon South,ES,911,yes,21.5,1.8,.
6/3/10,"Havana, IL",Emiquon South,ES,907,yes ,20.7,1.9,wind made weighing difficult
6/3/10,Pool 8,Lawrence Lake,LL,410,yes,20.1,1.7,.
6/20/10,Pool 8,Lawrence Lake,LL,402,yes,20.6,1.7,.
6/12/10,Pool 8,Lawrence Lake,LL,413,yes,19.4,1.8,.
6/18/10,Pool 8,Lawrence Lake,LL,416,yes,21.3,1.8,.
6/19/10,Pool 8,Lawrence Lake,LL,405,yes,21.8,1.8,.
5/30/10,Pool 8,Lawrence Lake,LL,409,yes,22.2,1.8,.
6/17/10,Pool 8,Lawrence Lake,LL,414,yes,22.6,1.9,.
6/8/10,Pool 8,Lawrence Lake,LL,412,yes,24.6,1.9,.
6/5/10,Pool 8,Lawrence Lake,LL,417,yes,23,1.9,.
6/9/10,Pool 8,Lawrence Lake,LL,419,yes,23.9,2,.
6/6/10,Pool 8,Shellhorn,SH,506,yes,21,1.8,.
6/4/10,Pool 8,Shellhorn,SH,509,yes,21.1,1.8,.
6/6/10,Pool 8,Shellhorn,SH,503,yes,22.1,1.8,.
6/7/10,Pool 8,Shellhorn,SH,507,yes,22.5,1.9,.
5/29/10,Pool 8,Shellhorn,SH,518,yes,23.1,1.9,.
6/7/10,Pool 8,Shellhorn,SH,505,yes,23.1,1.9,.
6/7/10,Pool 8,Shellhorn,SH,512,yes,23.1,1.9,.
6/2/10,Pool 8,Shellhorn,SH,508,yes,23.8,2,.
6/7/10,Pool 8,Shellhorn,SH,515,yes,24.5,2,.
6/3/10,Pool 8,Shellhorn,SH,514,yes,26,2.2,.
