BS_ID,SITE_ABREVIATION,COLLECTION DATE,SAMPTYPE,TRAP_NUMBER,TC_ID,ORDER,FAMILY,CF,LIFE CYCLE STAGE,TOTAL COUNT,IDENTIFIER,NOTES
18,SH,5/25/10,E-trap,1,65,Diptera,Chironomidae,FALSE,Adult,15,PTK,
19,SH,5/25/10,E-trap,2,66,Diptera,Scathophagidae,FALSE,Adult,1,PTK,
19,SH,5/25/10,E-trap,2,67,Diptera,Muscidae,FALSE,Adult,7,PTK,
19,SH,5/25/10,E-trap,2,68,Diptera,Chironomidae,FALSE,Adult,53,PTK,
20,SH,5/25/10,E-trap,3,69,Diptera,Muscidae,FALSE,Adult,4,PTK,
20,SH,5/25/10,E-trap,3,70,Diptera,Ephydridae,FALSE,Adult,1,PTK,
20,SH,5/25/10,E-trap,3,71,Diptera,Chironomidae,FALSE,Adult,16,PTK,missing abdomen
21,SH,5/25/10,E-trap,4,72,Diptera,Chironomidae,FALSE,Adult,30,PTK,
21,SH,5/25/10,E-trap,4,73,Diptera,Ephydridae,FALSE,Adult,1,PTK,
21,SH,5/25/10,E-trap,4,74,Trichoptera,Hydroptilidae,FALSE,Adult,1,PTK,can't take it down further - no front legs
21,SH,5/25/10,E-trap,4,75,Odonata,Coenagrionidae,FALSE,Adult,1,PTK,
21,SH,5/25/10,E-trap,4,76,Odonata,Coenagrionidae,FALSE,Adult,1,PTK,
22,SH,5/25/10,E-trap,5,77,Diptera,Ephydridae,FALSE,Adult,1,PTK,
22,SH,5/25/10,E-trap,5,78,Diptera,Chironomidae,FALSE,Adult,13,PTK,
22,SH,5/25/10,E-trap,5,79,Diptera,Muscidae,FALSE,Adult,7,PTK,
23,SH,5/25/10,E-trap,6,80,Diptera,Chironomidae,FALSE,Adult,91,PTK,five Chironomids only in pieces
23,SH,5/25/10,E-trap,6,81,Diptera,Simuliidae,FALSE,Adult,1,PTK,
23,SH,5/25/10,E-trap,6,82,Diptera,Muscidae,FALSE,Adult,2,PTK,
23,SH,5/25/10,E-trap,6,83,Diptera,Ephydridae,FALSE,Adult,1,PTK,
23,SH,5/25/10,E-trap,6,84,Trichoptera,Polycentropididae,FALSE,Adult,1,PTK,
24,LL,6/1/10,E-trap,1,85,No Insects Collected,.,FALSE,.,0,PTK,.
25,LL,6/1/10,E-trap,2,86,Diptera,Chironomidae,FALSE,Adult,2,PTK,
25,LL,6/1/10,E-trap,2,87,Diptera,Sciomyzidae,FALSE,Adult,1,PTK,
25,LL,6/1/10,E-trap,2,88,Diptera,Muscidae,FALSE,Adult,1,PTK,
25,LL,6/1/10,E-trap,2,89,Diptera,,TRUE,Adult,1,PTK,Missing wings
25,LL,6/1/10,E-trap,2,90,Trichoptera,Polycentropididae,FALSE,Adult,3,PTK,
25,LL,6/1/10,E-trap,3,91,Trichoptera,,TRUE,Adult,1,PTK,Missing maxillary palp segments
26,LL,6/1/10,E-trap,3,92,Trichoptera,Leptoceridae,FALSE,Adult,3,PTK,
27,LL,6/1/10,E-trap,4,93,Diptera,Chironomidae,FALSE,Adult,127,PTK,"6 A, 121 C"
27,LL,6/1/10,E-trap,4,94,Diptera,Empididae,FALSE,Adult,2,PTK,
27,LL,6/1/10,E-trap,4,95,Hymenoptera,Braconidae,FALSE,Adult,3,PTK,
27,LL,6/1/10,E-trap,4,96,Ephemeroptera,,TRUE,Adult,1,PTK,"Wings torn up, missing end of abdomen"
27,LL,6/1/10,E-trap,4,97,Trichoptera,Polycentropididae,FALSE,Adult,7,PTK,2 put in voucher
28,LL,6/1/10,E-trap,5,98,Trichoptera,Phryganeidae,FALSE,Adult,1,PTK,in voucher sample
29,SH,6/3/10,E-trap,1,99,Diptera,Chironomidae,FALSE,Adult,7,PTK,three chironomids in poor shape - missing abdomen
29,SH,6/3/10,E-trap,1,100,Diptera,Scathophagidae,FALSE,Adult,2,PTK,both missing abdomen
29,SH,6/3/10,E-trap,1,101,Coleoptera,Chrysomelidae,FALSE,Adult,1,PTK,
30,SH,6/3/10,E-trap,2,102,Diptera,Chironomidae,FALSE,Adult,81,PTK,weighed as subset
30,SH,6/3/10,E-trap,2,103,Diptera,Muscidae,FALSE,Adult,6,PTK,"two flies missing one wing, legs and head"
30,SH,6/3/10,E-trap,2,104,Diptera,Scathophagidae,FALSE,Adult,1,PTK,missing abdomen and legs
30,SH,6/3/10,E-trap,2,105,Odonata,Coenagrionidae,FALSE,Adult,1,PTK,
30,SH,6/3/10,E-trap,2,106,Trichoptera,Hydroptilidae,FALSE,Adult,3,PTK,
31,SH,6/3/10,E-trap,3,107,Diptera,Syrphidae,FALSE,Adult,1,PTK,
31,SH,6/3/10,E-trap,3,108,Diptera,Scathophagidae,FALSE,Adult,5,PTK,
31,SH,6/3/10,E-trap,3,109,Diptera,Chironomidae,FALSE,Adult,137,PTK,"13 A, 124 C"
32,SH,6/3/10,E-trap,4,110,Diptera,Dolichopodidae,FALSE,Adult,1,PTK,
32,SH,6/3/10,E-trap,4,111,Diptera,Scathophagidae,FALSE,Adult,7,PTK,
32,SH,6/3/10,E-trap,4,112,Diptera,Muscidae,FALSE,Adult,1,PTK,
32,SH,6/3/10,E-trap,4,113,Diptera,Ephydridae,FALSE,Adult,4,PTK,
32,SH,6/3/10,E-trap,4,114,Diptera,Chironomidae,FALSE,Adult,231,PTK,"6 B, 225 C"
32,SH,6/3/10,E-trap,4,115,Coleoptera,Chrysomelidae,FALSE,Adult,2,PTK,
32,SH,6/3/10,E-trap,4,116,Trichoptera,Hydroptilidae,FALSE,Adult,9,PTK,
33,SH,6/3/10,E-trap,5,117,Diptera,,TRUE,Adult,1,PTK,
33,SH,6/3/10,E-trap,5,118,Diptera,Muscidae,FALSE,Adult,1,PTK,
33,SH,6/3/10,E-trap,5,119,Diptera,Chironomidae,FALSE,Adult,185,PTK,"4 A, 25 B, 156 C"
34,SH,6/3/10,E-trap,6,120,Diptera,Muscidae,FALSE,Adult,3,PTK,
34,SH,6/3/10,E-trap,6,121,Diptera,Scathophagidae,FALSE,Adult,2,PTK,
34,SH,6/3/10,E-trap,6,122,Diptera,Dolichopodidae,FALSE,Adult,1,PTK,Missing legs and abdomen
34,SH,6/3/10,E-trap,6,123,Trichoptera,Hydroptilidae,FALSE,Adult,3,PTK,
35,LL,6/8/10,E-trap,1,124,Diptera,Chironomidae,FALSE,Adult,105,PTK,"6A, 1B, 98C"
35,LL,6/8/10,E-trap,1,125,Diptera,Ephydridae,FALSE,Adult,1,PTK,
35,LL,6/8/10,E-trap,1,126,Diptera,Empididae,FALSE,Adult,1,PTK,
35,LL,6/8/10,E-trap,1,127,Trichoptera,Leptoceridae,FALSE,Adult,5,PTK,"same caddis missing antenna, but look he same in all other aspects"
35,LL,6/8/10,E-trap,1,128,Lepidoptera,Eriocraniidae,FALSE,Adult,1,PTK,
35,LL,6/8/10,E-trap,1,129,Coleoptera,Anthribidae,FALSE,Adult,1,PTK,In voucher sample
35,LL,6/8/10,E-trap,1,130,Coleoptera,Chrysomelidae,FALSE,Adult,1,PTK,
35,LL,6/8/10,E-trap,1,131,Hymenoptera,Braconidae,FALSE,Adult,2,PTK,
36,LL,6/8/10,E-trap,2,132,Trichoptera,Leptoceridae,FALSE,Adult,2,PTK,
36,LL,6/8/10,E-trap,2,133,Trichoptera,Polycentropididae,FALSE,Adult,2,PTK,
36,LL,6/8/10,E-trap,2,134,Diptera,Chironomidae,FALSE,Adult,4,PTK,"1 A, 3 C"
36,LL,6/8/10,E-trap,2,135,Diptera,Ephydridae,FALSE,Adult,12,PTK,
36,LL,6/8/10,E-trap,2,136,Diptera,Scathophagidae,FALSE,Adult,2,PTK,
37,LL,6/8/10,E-trap,3,137,Diptera,Chironomidae,FALSE,Adult,1,PTK,B
37,LL,6/8/10,E-trap,3,138,Diptera,Scathophagidae,FALSE,Adult,1,PTK,
37,LL,6/8/10,E-trap,3,139,Trichoptera,Hydroptilidae,FALSE,Adult,1,PTK,
37,LL,6/8/10,E-trap,3,140,Trichoptera,Leptoceridae,FALSE,Adult,6,PTK,
37,LL,6/8/10,E-trap,3,141,Coleoptera,Curculiondae,FALSE,Adult,1,PTK,
38,LL,6/8/10,E-trap,4,142,Diptera,Chironomidae,FALSE,Adult,2,PTK,C
38,LL,6/8/10,E-trap,4,143,Diptera,Ephydridae,FALSE,Adult,5,PTK,one missing wings and part of head
38,LL,6/8/10,E-trap,4,144,Trichoptera,,TRUE,Adult,1,PTK,"Missing antenna, part of wings and maxillary palp"
39,LL,6/8/10,E-trap,5,145,Trichoptera,Leptoceridae,FALSE,Adult,1,PTK,
39,LL,6/8/10,E-trap,5,146,Lepidoptera,Eriocraniidae,FALSE,Adult,1,PTK,
39,LL,6/8/10,E-trap,5,147,Hymenoptera,,TRUE,Adult,1,PTK,"Missing wings, abdomen, legs, antenna"
39,LL,6/8/10,E-trap,5,148,Diptera,Scathophagidae,FALSE,Adult,5,PTK,
39,LL,6/8/10,E-trap,5,149,Diptera,Chironomidae,FALSE,Adult,3,PTK,"1 C, 2 B"
40,SH,6/9/10,E-trap,1,150,Diptera,Scathophagidae,FALSE,Adult,11,PTK,
40,SH,6/9/10,E-trap,1,151,Diptera,Ephydridae,FALSE,Adult,2,PTK,
40,SH,6/9/10,E-trap,1,152,Diptera,Muscidae,FALSE,Adult,1,PTK,
40,SH,6/9/10,E-trap,1,153,Diptera,Empididae,FALSE,Adult,8,PTK,
40,SH,6/9/10,E-trap,1,154,Diptera,Chironomidae,FALSE,Adult,8,PTK,"2 A, 1 B, 1 C, 4 D"
40,SH,6/9/10,E-trap,1,155,Trichoptera,Leptoceridae,FALSE,Adult,1,PTK,"Missing antenna, abdomen, wing tips, mesoscutellum"
41,SH,6/9/10,E-trap,2,156,Diptera,Scathophagidae,FALSE,Adult,7,PTK,one missing head and abdomen
41,SH,6/9/10,E-trap,2,157,Diptera,Ephydridae,FALSE,Adult,1,PTK,
41,SH,6/9/10,E-trap,2,158,Diptera,Empididae,FALSE,Adult,1,PTK,
41,SH,6/9/10,E-trap,2,159,Diptera,Simuliidae,FALSE,Adult,1,PTK,
41,SH,6/9/10,E-trap,2,160,Diptera,Chironomidae,FALSE,Adult,1,PTK,
41,SH,6/9/10,E-trap,2,161,Coleoptera,Carabidae,FALSE,Adult,1,PTK,
42,SH,6/9/10,E-trap,2,162,Diptera,Chironomidae,FALSE,Adult,66,PTK,"14 A, 2B, 44 C, 6 D"
42,SH,6/9/10,E-trap,3,163,Diptera,Scathophagidae,FALSE,Adult,9,PTK,
42,SH,6/9/10,E-trap,3,164,Diptera,Ceratopogonidae,FALSE,Adult,1,PTK,In voucher sample
42,SH,6/9/10,E-trap,3,165,Diptera,Ephydridae,FALSE,Adult,2,PTK,
42,SH,6/9/10,E-trap,3,166,Coleoptera,Curculiondae,FALSE,Adult,1,PTK,In voucher sample
43,SH,6/9/10,E-trap,4,167,Coleoptera,Staphylinidae,FALSE,Adult,1,PTK,
43,SH,6/9/10,E-trap,4,168,Trichoptera,Hydroptilidae,FALSE,Adult,5,PTK,
43,SH,6/9/10,E-trap,4,169,Ephemeroptera,Baetidae,FALSE,Adult,1,PTK,
43,SH,6/9/10,E-trap,4,170,Diptera,Chironomidae,FALSE,Adult,141,PTK,"8 A, 29 B, 44 C, 60 D"
43,SH,6/9/10,E-trap,4,171,Diptera,Syrphidae,FALSE,Adult,1,PTK,
43,SH,6/9/10,E-trap,4,172,Diptera,Scathophagidae,FALSE,Adult,20,PTK,
43,SH,6/9/10,E-trap,4,173,Diptera,Ephydridae,FALSE,Adult,4,PTK,
43,SH,6/9/10,E-trap,4,174,Diptera,Empididae,FALSE,Adult,4,PTK,
44,SH,6/9/10,E-trap,5,175,Diptera,Chironomidae,FALSE,Adult,73,PTK,"9 A, 18 B, 26 C, 20 D"
44,SH,6/9/10,E-trap,5,176,Diptera,Muscidae,FALSE,Adult,1,PTK,
44,SH,6/9/10,E-trap,5,177,Diptera,Scathophagidae,FALSE,Adult,8,PTK,
44,SH,6/9/10,E-trap,5,178,Trichoptera,Hydroptilidae,FALSE,Adult,2,PTK,
44,SH,6/9/10,E-trap,5,179,Coleoptera,Curculiondae,FALSE,Adult,1,PTK,
45,SH,6/9/10,E-trap,6,180,Diptera,Ceratopogonidae,FALSE,Adult,1,PTK,
45,SH,6/9/10,E-trap,6,181,Diptera,Chironomidae,FALSE,Adult,168,PTK,"7 A, 33 B, 54 C, 76 D"
45,SH,6/9/10,E-trap,6,182,Diptera,Scathophagidae,FALSE,Adult,20,PTK,
45,SH,6/9/10,E-trap,6,183,Diptera,Ephydridae,FALSE,Adult,3,PTK,
45,SH,6/9/10,E-trap,6,184,Diptera,Empididae,FALSE,Adult,3,PTK,
45,SH,6/9/10,E-trap,6,185,Ephemeroptera,Metretopodidae,FALSE,Adult,2,PTK,
46,LL,6/15/10,E-trap,1,186,Diptera,Chironomidae,FALSE,Adult,75,PTK,C
46,LL,6/15/10,E-trap,1,187,Diptera,Empididae,FALSE,Adult,12,PTK,
46,LL,6/15/10,E-trap,1,188,Trichoptera,Hydroptilidae,FALSE,Adult,2,PTK,
46,LL,6/15/10,E-trap,1,189,Trichoptera,Leptoceridae,FALSE,Adult,4,PTK,
47,LL,6/15/10,E-trap,2,190,Diptera,Sciomyzidae,FALSE,Adult,1,PTK,
47,LL,6/15/10,E-trap,2,191,Diptera,Ephydridae,FALSE,Adult,21,PTK,
47,LL,6/15/10,E-trap,2,192,Diptera,Empididae,FALSE,Adult,1,PTK,
47,LL,6/15/10,E-trap,2,193,Diptera,Empididae,FALSE,Adult,2,PTK,"not sure, keyed out to the best of ability"
47,LL,6/15/10,E-trap,2,194,Diptera,Chironomidae,FALSE,Adult,3,PTK,C
47,LL,6/15/10,E-trap,2,195,Diptera,Scathophagidae,FALSE,Adult,12,PTK,
47,LL,6/15/10,E-trap,2,196,Trichoptera,Leptoceridae,FALSE,Adult,5,PTK,
47,LL,6/15/10,E-trap,2,197,Hymenoptera,Braconidae,FALSE,Adult,1,PTK,
48,LL,6/15/10,E-trap,3,198,Trichoptera,Polycentropididae,FALSE,Adult,1,PTK,
48,LL,6/15/10,E-trap,3,199,Trichoptera,Leptoceridae,FALSE,Adult,2,PTK,
48,LL,6/15/10,E-trap,3,200,Diptera,Empididae,FALSE,Adult,1,PTK,
48,LL,6/15/10,E-trap,3,201,Diptera,Scathophagidae,FALSE,Adult,1,PTK,
48,LL,6/15/10,E-trap,3,202,Diptera,Chironomidae,FALSE,Adult,1,PTK,C
49,LL,6/15/10,E-trap,4,203,Diptera,Ephydridae,FALSE,Adult,1,PTK,
50,LL,6/15/10,E-trap,5,204,Diptera,Scathophagidae,FALSE,Adult,16,PTK,
50,LL,6/15/10,E-trap,5,205,Diptera,Ephydridae,FALSE,Adult,26,PTK,
50,LL,6/15/10,E-trap,5,206,Diptera,Empididae,FALSE,Adult,39,PTK,
50,LL,6/15/10,E-trap,5,207,Diptera,Chironomidae,FALSE,Adult,6,PTK,"3 B, 2 C, 1 D"
50,LL,6/15/10,E-trap,5,208,Hymenoptera,Ichneumonidae,FALSE,Adult,1,PTK,
51,SH,6/15/10,E-trap,1,209,Diptera,Chironomidae,FALSE,Adult,1,PTK,B
51,SH,6/15/10,E-trap,1,210,Diptera,Muscidae,FALSE,Adult,3,PTK,
51,SH,6/15/10,E-trap,1,211,Diptera,Scathophagidae,FALSE,Adult,7,PTK,one missing abdomen and wing
51,SH,6/15/10,E-trap,1,212,Diptera,Ephydridae,FALSE,Adult,2,PTK,
51,SH,6/15/10,E-trap,1,213,Hymenoptera,Pompilidae,FALSE,Adult,1,PTK,
51,SH,6/15/10,E-trap,1,214,Trichoptera,Leptoceridae,FALSE,Adult,1,PTK,
52,SH,6/15/10,E-trap,2,215,Diptera,Ceratopogonidae,FALSE,Adult,1,PTK,
52,SH,6/15/10,E-trap,2,216,Diptera,Sciomyzidae,FALSE,Adult,1,PTK,
52,SH,6/15/10,E-trap,2,217,Diptera,Empididae,FALSE,Adult,4,PTK,
52,SH,6/15/10,E-trap,2,218,Diptera,Scathophagidae,FALSE,Adult,11,PTK,
52,SH,6/15/10,E-trap,2,219,Diptera,Ephydridae,FALSE,Adult,3,PTK,
52,SH,6/15/10,E-trap,2,220,Diptera,Chironomidae,FALSE,Adult,12,PTK,"1 A, 4 B, 4 C, 2 D"
52,SH,6/15/10,E-trap,2,221,Trichoptera,Leptoceridae,FALSE,Adult,1,PTK,
52,SH,6/15/10,E-trap,2,222,Trichoptera,Hydroptilidae,FALSE,Adult,2,PTK,
52,SH,6/15/10,E-trap,2,223,Odonata,Coenagrionidae,FALSE,Adult,1,PTK,
53,SH,6/15/10,E-trap,3,224,Diptera,Scathophagidae,FALSE,Adult,10,PTK,
53,SH,6/15/10,E-trap,3,225,Diptera,Ephydridae,FALSE,Adult,4,PTK,
53,SH,6/15/10,E-trap,3,226,Diptera,Empididae,FALSE,Adult,1,PTK,
53,SH,6/15/10,E-trap,3,227,Diptera,Phoridae,FALSE,Adult,1,PTK,
53,SH,6/15/10,E-trap,3,228,Diptera,Chironomidae,FALSE,Adult,71,PTK,"8 A, 2 B, 46 C, 14 D"
53,SH,6/15/10,E-trap,3,229,Trichoptera,Hydroptilidae,FALSE,Adult,2,PTK,
53,SH,6/15/10,E-trap,3,230,Coleoptera,Curculiondae,FALSE,Adult,1,PTK,
53,SH,6/15/10,E-trap,3,231,Coleoptera,Staphylinidae,FALSE,Adult,2,PTK,1 put in voucher sample
54,SH,6/15/10,E-trap,4,232,Diptera,Scathophagidae,FALSE,Adult,15,PTK,
54,SH,6/15/10,E-trap,4,233,Diptera,Ephydridae,FALSE,Adult,6,PTK,
54,SH,6/15/10,E-trap,4,234,Diptera,Empididae,FALSE,Adult,22,PTK,
54,SH,6/15/10,E-trap,4,235,Diptera,Ceratopogonidae,FALSE,Adult,1,PTK,
54,SH,6/15/10,E-trap,4,236,Diptera,Chironomidae,FALSE,Adult,113,PTK,"5 A, 8 B, 53 C, 44 D, 3 E"
54,SH,6/15/10,E-trap,4,237,Trichoptera,Leptoceridae,FALSE,Adult,1,PTK,
54,SH,6/15/10,E-trap,4,238,Trichoptera,Hydroptilidae,FALSE,Adult,31,PTK,
54,SH,6/15/10,E-trap,4,239,Ephemeroptera,Baetidae,FALSE,Adult,5,PTK,
55,SH,6/15/10,E-trap,5,240,Diptera,Chironomidae,FALSE,Adult,53,PTK,"7 A, 13 B, 27 C, 4 D, 2 E"
55,SH,6/15/10,E-trap,5,241,Diptera,Empididae,FALSE,Adult,9,PTK,
55,SH,6/15/10,E-trap,5,242,Diptera,Ephydridae,FALSE,Adult,3,PTK,
55,SH,6/15/10,E-trap,5,243,Diptera,Scathophagidae,FALSE,Adult,7,PTK,
55,SH,6/15/10,E-trap,5,244,Ephemeroptera,Baetidae,FALSE,Adult,1,PTK,
55,SH,6/15/10,E-trap,5,245,Trichoptera,Hydroptilidae,FALSE,Adult,5,PTK,
56,SH,6/15/10,E-trap,6,246,Ephemeroptera,Metretopodidae,FALSE,Adult,7,PTK,
56,SH,6/15/10,E-trap,6,247,Diptera,Ceratopogonidae,FALSE,Adult,1,PTK,
56,SH,6/15/10,E-trap,6,248,Diptera,Chironomidae,FALSE,Adult,147,PTK,"9 A, 17 B, 91 C, 20 D, 3 E"
56,SH,6/15/10,E-trap,6,249,Diptera,Empididae,FALSE,Adult,18,PTK,
56,SH,6/15/10,E-trap,6,250,Diptera,Scathophagidae,FALSE,Adult,4,PTK,
56,SH,6/15/10,E-trap,6,251,Diptera,Ephydridae,FALSE,Adult,7,PTK,
56,SH,6/15/10,E-trap,6,252,Coleoptera,Curculiondae,FALSE,Adult,1,PTK,
56,SH,6/15/10,E-trap,6,253,Trichoptera,Hydroptilidae,FALSE,Adult,8,PTK,
56,SH,6/15/10,E-trap,6,254,Trichoptera,Leptoceridae,FALSE,Adult,2,PTK,
56,SH,6/15/10,E-trap,6,255,Diptera,Terrestrial,FALSE,Adult,1,PTK,
57,SH,6/18/10,E-trap,1,256,Odonata,Coenagrionidae,FALSE,Adult,1,PTK,
57,SH,6/18/10,E-trap,1,257,Diptera,Muscidae,FALSE,Adult,2,PTK,
57,SH,6/18/10,E-trap,1,258,Diptera,Scathophagidae,FALSE,Adult,1,PTK,
57,SH,6/18/10,E-trap,1,259,Diptera,Syrphidae,FALSE,Adult,1,PTK,
57,SH,6/18/10,E-trap,1,260,Diptera,Chironomidae,FALSE,Adult,2,PTK,"1 B, 1 D"
58,SH,6/18/10,E-trap,2,261,Diptera,Ephydridae,FALSE,Adult,2,PTK,
58,SH,6/18/10,E-trap,2,262,Diptera,Empididae,FALSE,Adult,3,PTK,
58,SH,6/18/10,E-trap,2,263,Diptera,Chironomidae,FALSE,Adult,5,PTK,"2 A, 1 B, 1 C, 1 D"
58,SH,6/18/10,E-trap,2,264,Diptera,Scathophagidae,FALSE,Adult,1,PTK,
58,SH,6/18/10,E-trap,2,265,Diptera,Sciomyzidae,FALSE,Adult,1,PTK,
59,SH,6/18/10,E-trap,3,266,Diptera,Chironomidae,FALSE,Adult,83,PTK,"4 B, 47 C, 8 D, 3 E"
59,SH,6/18/10,E-trap,3,267,Diptera,Muscidae,FALSE,Adult,2,PTK,
59,SH,6/18/10,E-trap,3,268,Diptera,Phoridae,FALSE,Adult,1,PTK,
