Order,Family,Stage,Count,Taxonomist,Notes,Site,Date,Bolus,type,Box,QA
Diptera,Chironomidae,Adult,15,PTK,ID by PTK,SH,6/3/10,1,bolus,507,
Diptera,Ephydridae,Adult,1,PTK,ID by PTK,SH,6/3/10,1,bolus,507,
Diptera,Tipulidae,Adult,2,PTK,ID by PTK,SH,6/3/10,1,bolus,507,
Ephemeroptera,Palingeniidae,Adult,19,PTK,ID by PTK - Pentagenia vittigera sp. ,SH,6/3/10,1,bolus,507,
Ephemeroptera,Palingeniidae,Adult,6,PTK,ID by PTK - Pentagenia vittigera sp. - In voucher sample,SH,5/28/10,1,bolus,508,508
Diptera,Chironomidae,Adult,15,PTK,ID by PTK,SH,6/3/10,1,bolus,511,
Diptera,Sciomyzidae,Adult,2,PTK,ID by PTK,SH,6/3/10,1,bolus,511,
Ephemeroptera,Palingeniidae,Adult,2,PTK,ID by PTK - Pentagenia vittigera sp. ,SH,6/3/10,1,bolus,511,
Ephemeroptera,unidentifiable,Adult,1,PTK,ID by PTK - wings in poor shape-most likely Ephemeridae Hexagenia sp.,SH,6/3/10,1,bolus,511,
Diptera,Chironomidae,Adult,33,PTK,ID by PTK,SH,6/14/10,1,bolus 1,513,
Diptera,Sciomyzidae,Adult,1,PTK,ID by PTK,SH,6/14/10,1,bolus 1,513,
Odonata,Coenagrionidae,Adult,2,PTK,ID by PTK,SH,6/14/10,1,bolus 1,513,
Diptera,Chironomidae,Adult,54,PTK,ID by PTK,SH,6/14/10,2,bolus 2,513,
Diptera,Dolichopodidae,Adult,1,PTK,ID by PTK,SH,6/14/10,2,bolus 2,513,
Diptera,Chironomidae,Adult,1,1,bolus 1,SH,6/16/10,1,bolus 1,516,516
Odonata,Coenagrionidae,Adult,4,1,bolus 1,SH,6/16/10,1,bolus 1,516,516
Diptera,Chironomidae,Adult,1,2,bolus 2,SH,6/16/10,2,bolus 2,516,516
Diptera,TERRESTRIAL,Adult,2,2,bolus 2,SH,6/16/10,2,bolus 2,516,516
Odonata,Coenagrionidae,Adult,3,2,bolus 2,SH,6/16/10,2,bolus 2,516,516
Diptera,Chironomidae,Adult,19,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Diptera,Empididae,Adult,5,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Diptera,Ephydridae,Adult,1,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Diptera,Musicidae,Adult,1,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Diptera,Simuliidae,Adult,2,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Diptera,TERRESTRIAL,Adult,1,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Homoptera,TERRESTRIAL,Adult,1,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Hymenoptera,Ichnuemonidae,Adult,2,3,bolus 3,SH,6/16/10,3,bolus 3,516,516
Odonata,Coenagrionidae,Adult,2,3,bolus 3,SH,6/16/10,3,bolus 3,516,
Odonata,Coenagrionidae,Adult,1,PTK,ID by PTK,SH,6/12/10,1,bolus,517,
Coleoptera,Carabidae,Adult,1,PTK,ID by PTK,SH,6/21/10,1,bolus,519,
Diptera,Chironomidae,Adult,3,PTK,ID by PTK,SH,6/21/10,1,bolus,519,
Diptera,Sciomyzidae,Adult,2,PTK,ID by PTK,SH,6/21/10,1,bolus,519,
Odonata,Coenagrionidae,Adult,6,PTK,ID by PTK,SH,6/21/10,1,bolus,519,
Diptera,Chironomidae,Adult,17,JDK,ID by JDK,BE,6/18/10,1,bolus 1,802,802
Trichoptera,Leptoceridae,Adult,1,PTK,ID by PTK,BE,6/18/10,1,bolus 1,802,802
Arachnid,.,Adult,1,JDK,ID by JDK,BE,6/9/10,1,bolus 1,803,
Diptera,Chironomidae,Adult,1,JDK,ID by JDK,BE,6/9/10,1,bolus 1,803,
Odonata,Coenagrionidae,Adult,1,JDK,ID by JDK,BE,6/9/10,1,bolus 1,803,
Arachnid,.,Adult,12,JDK,ID by JDK,BE,6/18/10,1,bolus 1,806,806
Diptera,Chironomidae,Adult,9,JDK,ID by JDK,BE,6/18/10,1,bolus 1,806,806
Homoptera,TERRESTRIAL,Adult,3,JDK,ID by JDK,BE,6/18/10,1,bolus 1,806,806
Diptera,Chironomidae,Adult,25,SKG,ID by SKG,BE,6/17/10,1,bolus 1,816,816
Diptera,Musicidae,Adult,1,SKG,ID by SKG,BE,6/17/10,1,bolus 1,816,816
Diptera,Phoridae,Adult,3,SKG,ID by SKG,BE,6/17/10,1,bolus 1,816,816
Diptera,Simuliidae,Adult,1,SKG,ID by SKG,BE,6/17/10,1,bolus 1,816,816
Hemiptera,TERRESTRIAL,Adult,1,SKG,ID by SKG,BE,6/17/10,1,bolus 1,816,816
Hymenoptera,Braconidae,Adult,1,SKG,ID by SKG,BE,6/17/10,1,bolus 1,816,816
Diptera,Chironomidae,Adult,21,SKG,ID by SKG,BE,6/17/10,2,bolus 2,816,816
Arachnid,.,Adult,4,JDK,"ID by JDK, nest mites that likely came from the box when the bolus was collected.",ES,6/1/10,1,bolus 1,900,
Diptera,Chironomidae,Adult,1,JDK,ID by JDK,ES,6/1/10,1,bolus 1,900,
Diptera,Culicidae,Adult,1,JDK,ID by JDK,ES,6/1/10,1,bolus 1,900,
Diptera,Ephydridae,Adult,2,PTK,ID by PTK,ES,6/1/10,1,bolus 1,900,
Diptera,Muscidae,Adult,2,JDK,ID by JDK,ES,6/1/10,1,bolus 1,900,
Diptera,Phoridae,Adult,2,PTK,"ID by PTK, put in voucher sample",ES,6/1/10,1,bolus 1,900,
Diptera,Simuliidae,Adult,3,JDK,ID by JDK,ES,6/1/10,1,bolus 1,900,
Diptera,Stratiomyzidae,Adult,2,JDK,ID by JDK,ES,6/1/10,1,bolus 1,900,
Diptera,unidentifiable Brachycera,Adult,1,PTK,"ID by PTK, in too poor of shape to ID.",ES,6/1/10,1,bolus 1,900,
Odonata,Coenagrionidae,Adult,2,JDK,ID by JDK,ES,6/1/10,1,bolus 1,900
Arachnid,.,Adult,2,JDK,ID by JDK,ES,6/1/10,2,bolus 2,900
Diptera,Chironomidae,Adult,8,JDK,ID by JDK,ES,6/1/10,2,bolus 2,900
Diptera,Muscidae,Adult,1,PTK,ID by PTK,ES,6/1/10,2,bolus 2,900
Diptera,Phoridae,Adult,1,PTK,ID by PTK,ES,6/1/10,2,bolus 2,900
Diptera,Sciomyzidae,Adult,3,PTK,ID by PTK,ES,6/1/10,2,bolus 2,900
Diptera,Stratiomyzidae,Adult,9,JDK,ID by JDK,ES,6/1/10,2,bolus 2,900
Diptera,unidentifiable Brachycera,Adult,3,PTK,"ID by PTK, missing too many parts to ID",ES,6/1/10,2,bolus 2,900
Orthoptera,.,Adult,1,JDK,"ID by JDK, grasshopper",ES,6/1/10,2,bolus 2,900
Diptera,Chironomidae,Adult,11,SKG,ID by SKG,ES,7/7/10,1,bolus 1,901
Diptera,Muscidae,Adult,4,SKG,ID by SKG,ES,7/7/10,1,bolus 1,901
Odonata,Coenagrionidae,Adult,1,SKG,ID by SKG,ES,7/7/10,1,bolus 1,901
Diptera,Chironomidae,Adult,21,SKG,ID by SKG,ES,6/6/10,1,bolus 1,903
Diptera,Muscidae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,903
Diptera,Sapsidae,Adult,1,SKG,ID by SKG-TERRESTRIAL,ES,6/6/10,1,bolus 1,903
Diptera,Stratiomyzidae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,903
Gastropoda,.,Adult,1,SKG,"ID by SKG, snail",ES,6/6/10,1,bolus 1,903,
Homoptera,TERRESTRIAL,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,903,
Odonata,Coenagrionidae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,903,
Arachnid,.,Adult,3,SKG,ID by SKG,ES,6/6/10,2,bolus 2,903,
Coleoptera,Elateridae,Adult,1,SKG,ID by SKG-TERRESTRIAL,ES,6/6/10,2,bolus 2,903,
Diptera,Chironomidae,Adult,37,SKG,ID by SKG,ES,6/6/10,2,bolus 2,903,
Odonata,Coenagrionidae,Adult,2,SKG,ID by SKG,ES,6/6/10,2,bolus 2,903,
Diptera,Chironomidae,Adult,11,SKG,ID by SKG,ES,6/3/10,1,bolus 1,905,905
Hemiptera,Aphididae,Adult,1,SKG,ID by SKG,ES,6/3/10,1,bolus 1,905,905
Odonata,Coenagrionidae,Adult,7,SKG,ID by SKG,ES,6/3/10,1,bolus 1,905,905
Arachnid,.,Adult,19,JDK,ID by JDK,ES,7/7/10,1,bolus 1,906,
Diptera,Chironomidae,Adult,7,JDK,ID by JDK,ES,7/7/10,1,bolus 1,906,
Diptera,Stratiomyidae,Adult,3,JDK,ID by JDK,ES,7/7/10,1,bolus 1,906,
Hymenoptera,TERRESTRIAL,Adult,1,JDK,ID by JDK.  A very interesting specimen with large manibles.,ES,7/9/10,1,bolus 1,909,
Diptera,Muscidae,Adult,1,SKG,ID by SKG,ES,5/25/10,1,bolus 1,910,
Odonata,Coenagrionidae,Adult,11,SKG,ID by SKG,ES,5/25/10,1,bolus 1,910,
Diptera,Chironomidae,Adult,3,JDK,ID by JDK,ES,5/25/10,2,bolus 2,910
Hemiptera,TERRESTRIAL,Adult,2,JDK,ID by JDK,ES,5/25/10,2,bolus 2,910
Odonata,Coenagrionidae,Adult,7,JDK,ID by JDK,ES,5/25/10,2,bolus 2,910
Arachnid,.,Adult,1,JDK,"ID by JDK, nest mites that likely came from the box when the bolus was collected.",ES,6/14/10,1,bolus,911
Coleoptera,Curculionidae,Adult,1,JDK,ID by JDK,ES,6/14/10,1,bolus,911
Diptera,Chironomidae,Adult,46,JDK,ID by JDK,ES,6/14/10,1,bolus,911
Diptera,Dolichopodidae,Adult,2,JDK,ID by JDK,ES,6/14/10,1,bolus,911
Diptera,Muscidae,Adult,2,JDK,ID by JDK,ES,6/14/10,1,bolus,911
Diptera,Simuliidae,Adult,7,JDK,ID by JDK,ES,6/14/10,1,bolus,911
Diptera,unidentifiable Brachycera,Adult,1,JDK,"ID by JDK, missing head on specimen and can't be identified because frontal suture/antennae can't be determined.",ES,6/14/10,1,bolus,911
Ephemeroptera,Ephemeridae,Adult,1,PTK,ID by PTK-Hexagenia sp.,ES,6/14/10,1,bolus,911
Odonata,.,Nymph,3,JDK,ID by JDK,ES,6/14/10,1,bolus,911
Odonata,Coenagrionidae,Adult,2,JDK,ID by JDK,ES,6/14/10,1,bolus,911
Arachnid,.,Adult,1,DMK,ID by DMK,ES,6/1/10,1,bolus 1,914
Diptera,Chironomidae,Adult,1,DMK,ID by DMK,ES,6/1/10,1,bolus 1,914
Diptera,Simuliidae,Adult,2,DMK,ID by DMK,ES,6/1/10,1,bolus 1,914
Diptera,Stratiomyzidae,Adult,8,DMK,ID by DMK,ES,6/1/10,1,bolus 1,914,
Diptera,Chironomidae,Adult,40,SKG,ID by SKG,ES,6/1/10,1,bolus 1,917,
Arachnid,.,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,919,919
Diptera,Chironomidae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,919,919
Diptera,Ephydridae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,919,919
Diptera,Syrphidae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,919,
Hemiptera,Aphididae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,919,
Odonata,Coenagrionidae,Adult,6,SKG,ID by SKG,ES,6/6/10,1,bolus 1,919,
Odonata,Lestidae,Adult,1,SKG,ID by SKG,ES,6/6/10,1,bolus 1,919,
Diptera,Stratiomyidae,Adult,1,JDK,ID by JDK,EN,7/13/10,1,bolus 1,921,
Odonata,Coenagrionidae,Adult,1,SKG,ID by SKG,EN,6/6/10,1,bolus 1,922,
Diptera,Chironomidae,Adult,3,SKG,ID by SKG,ES,7/2/10,1,bolus 1,923,
Diptera,Muscidae,Adult,1,SKG,ID by SKG,ES,7/2/10,1,bolus 1,923,
Diptera,Stratiomyidae,Adult,3,SKG,ID by SKG,ES,7/2/10,1,bolus 1,923,
Diptera,Dolichopodidae,Adult,1,SKG,ID by SKG,EN,7/6/10,1,bolus 1,924,
Diptera,Stratiomyidae,Adult,2,SKG,ID by SKG,EN,7/6/10,1,bolus 1,924,
Diptera,Chironomidae,Adult,2,JDK,ID by JDK,EN,7/7/10,1,bolus 1,927,
Diptera,Stratiomyidae,Adult,2,JDK,ID by JDK,EN,7/7/10,1,bolus 1,927,
Odonata,Coenagrionidae,Adult,2,JDK,"ID by JDK.  The second specimen was in poor shape, but looks to be the same speicies as the one that was positively ID.",EN,7/7/10,1,bolus 1,927,
Diptera,Chironomidae,Adult,31,JDK,ID by JDK,EN,6/18/10,1,bolus 1,928,928
Diptera,Ephydridae,Adult,2,PTK,ID by PTK,EN,6/18/10,1,bolus 1,928,928
Diptera,Sciomyzidae,Adult,3,PTK,ID by PTK,EN,6/18/10,1,bolus 1,928,928
Diptera,Simuliidae,Adult,1,PTK,ID by PTK,EN,6/18/10,1,bolus 1,928,928
Homoptera,.,Adult,1,JDK,ID by JDK,EN,6/18/10,1,bolus 1,928,928
Hymenoptera,Ichneumonidae,Adult,1,JDK,ID by JDK,EN,6/18/10,1,bolus 1,928,928
Odonata,Coenagrionidae,Adult,7,JDK,ID by JDK,EN,6/18/10,1,bolus 1,928,928
Diptera,Chironomidae,Adult,2,DMK,ID by DMK,EN,6/18/10,2,bolus 2,928,928
Odonata,Coenagrionidae,Adult,6,DMK,ID by DMK,EN,6/18/10,2,bolus 2,928,928
Trichoptera,Hydropsychidae,Adult,1,PTK,ID by PTK,EN,6/18/10,2,bolus 2,928,928
Diptera,Chironomidae,Adult,4,JDK,ID by JDK,EN,7/9/10,1,bolus 1,932,
Diptera,Sciomyzidae,Adult,1,SKG,ID by SKG,EN,6/4/10,1,bolus 1,933,933
Odonata,Coenagrionidae,Adult,3,SKG,ID by SKG,EN,6/4/10,1,bolus 1,933,933
Diptera,Chironomidae,Adult,1,SKG,ID by SKG,EN,6/4/10,2,bolus 2,933,933
Diptera,Muscidae,Adult,4,SKG,ID by SKG,EN,6/4/10,2,bolus 2,933,933
Diptera,Chironomidae,Adult,5,SKG,ID by SKG,EN,6/1/10,1,bolus 1,935,
Diptera,Simuliidae,Adult,1,SKG,ID by SKG,EN,6/1/10,1,bolus 1,935,
Diptera,Stratiomyzidae,Adult,4,SKG,ID by SKG,EN,6/1/10,1,bolus 1,935,
Diptera,Syrphidae,Adult,2,SKG,ID by SKG,EN,6/1/10,1,bolus 1,935,
Hymenoptera,Histeridae,Adult,2,SKG,ID by SKG,EN,6/1/10,1,bolus 1,935,
Odonata,Coenagrionidae,Adult,3,SKG,ID by SKG,EN,6/1/10,1,bolus 1,935,
Diptera,Chironomidae,Adult,4,SKG,ID by SKG,EN,6/1/10,1,bolus 1,937,
Diptera,Sciomyzidae,Adult,1,SKG,ID by SKG,EN,6/1/10,1,bolus 1,937,
Diptera,Chironomidae,Adult,7,JDK,ID by JDK,BN,6/1/10,1,bolus 1,953,
Diptera,Empididae,Adult,1,PTK,ID by PTK,BN,6/1/10,1,bolus 1,953,
Diptera,Chironomidae,Adult,34,JDK,ID by JDK,BN,6/1/10,2,bolus 2,953,
Diptera,Ephydridae,Adult,3,PTK,ID by PTK,BN,6/1/10,2,bolus 2,953,
Diptera,Simuliidae,Adult,1,PTK,ID by PTK,BN,6/1/10,2,bolus 2,953,
Odonata,unidentifiable Anisoptera,Adult,1,JDK,ID by JDK; only wings and half of head present so keyed to order,BN,5/28/10,1,bolus,961,
Ephemeroptera,Heptageniidae,Adult,1,SKG,"ID by SKG, There were large chunks of detritus along with the Heptageniidae.  It was put in own vial.",BN,6/25/10,1,bolus 1,962,
Diptera,Chironomidae,Adult,18,SKG,ID by SKG,BN,6/4/10,1,bolus 1,968,
Diptera,Ephydridae,Adult,3,SKG,ID by SKG,BN,6/4/10,1,bolus 1,968,
Diptera,Muscidae,Adult,3,SKG,ID by SKG,BN,6/4/10,1,bolus 1,968,
Diptera,Syrphidae,Adult,4,SKG,ID by SKG,BN,6/4/10,1,bolus 1,968,
Diptera,Tachinidae,Adult,1,SKG,ID by SKG-TERRESTRIAL,BN,6/4/10,1,bolus 1,968,
Arachnid,.,Adult,18,JDK,ID by JDK,BN,6/14/10,1,bolus 1,969,
Diptera,Muscidae,Adult,1,JDK,ID by JDK,BN,6/14/10,1,bolus 1,969,
Arachnid,.,Adult,10,JDK,ID by JDK,BN,6/14/10,2,bolus 2,969,
Coleoptera,Chrysomelidae,Adult,2,PTK,ID by PTK,BN,6/14/10,2,bolus 2,969,
Coleoptera,Curculionidae,Adult,2,JDK,ID by JDK,BN,6/14/10,2,bolus 2,969,
Diptera,Chironomidae,Adult,5,JDK,ID by JDK,BN,6/14/10,2,bolus 2,969,
Diptera,Muscidae,Adult,1,JDK,ID by JDK,BN,6/14/10,2,bolus 2,969,
Hemiptera,.,Adult,1,SKG,ID by SKG -TERRESTRIAL,BN,6/14/10,2,bolus 2,969,
Homoptera,.,Adult,2,JDK,ID by JDK-TERRESTRIAL,BN,6/14/10,2,bolus 2,969,
Arachnid,.,Adult,2,SKG,ID by SKG,BS,7/2/10,1,bolus 1,973,973
Diptera,Empididae,Adult,1,SKG,ID by SKG,BS,7/2/10,1,bolus 1,973,973
Diptera,Tabanidae,Adult,1,SKG,ID by SKG,BS,7/2/10,1,bolus 1,973,973
Odonata,Coenagrionidae,Adult,1,SKG,ID by SKG,BS,7/2/10,1,bolus 1,973,973
Orthoptera,.,Adult,1,SKG,ID by SKG,BS,7/2/10,1,bolus 1,973,973
Arachnid,.,Adult,6,SKG,ID by SKG,BS,7/2/10,2,bolus 2,973,973
Diptera,Chironomidae,Adult,1,SKG,ID by SKG,BS,7/2/10,2,bolus 2,973,973
Diptera,Dolichopodidae,Adult,2,SKG,ID by SKG,BS,7/2/10,2,bolus 2,973,973
Homoptera,TERRESTRIAL,Adult,1,SKG,ID by SKG,BS,7/2/10,2,bolus 2,973,973
Odonata,Coenagrionidae,Adult,1,SKG,ID by SKG,BS,7/2/10,2,bolus 2,973,973
Diptera,Calliphoridae,Adult,1,JDK,ID by JDK,BS,6/4/10,1,bolus 1,977,
Diptera,Chironomidae,Adult,4,JDK,ID by JDK,BS,6/4/10,1,bolus 1,977,
Diptera,Muscidae,Adult,2,JDK,ID by JDK,BS,6/4/10,1,bolus 1,977,
Diptera,Simuliidae,Adult,3,JDK,ID by JDK,BS,6/4/10,1,bolus 1,977,
Diptera,Syrphidae,Adult,1,JDK,ID by JDK,BS,6/4/10,1,bolus 1,977,
Diptera,Tabanidae,Adult,1,JDK,ID by JDK,BS,6/4/10,1,bolus 1,977,
Odonata,Coenagrionidae,Adult,1,JDK,ID by JDK,BS,6/17/10,1,bolus 1,982,
Arachnid,.,Adult,1,JDK,ID by JDK,BS,6/17/10,2,bolus 2,982
Coleoptera,Carabidae,Adult,1,JDK,ID by JDK,BS,6/17/10,2,bolus 2,982
Diptera,Chironomidae,Adult,11,JDK,ID by JDK,BS,6/17/10,2,bolus 2,982
Diptera,Muscidae,Adult,1,JDK,ID by JDK,BS,6/17/10,2,bolus 2,982
Diptera,Simuliidae,Adult,5,JDK,ID by JDK,BS,6/17/10,2,bolus 2,982
Diptera,Syrphidae,Adult,1,JDK,ID by JDK,BS,6/17/10,2,bolus 2,982
Arachnid,.,Adult,1,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Coleoptera,Carabidae,Adult,1,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Coleoptera,Curculionidae,Adult,1,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Coleoptera,Staphylinidae,Adult,1,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Diptera,Chironomidae,Adult,44,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Diptera,Dolichopodidae,Adult,5,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Diptera,Empididae,Adult,4,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Diptera,Muscidae,Adult,4,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Diptera,Phoridae,Adult,7,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
Diptera,Simuliidae,Adult,1,SKG,ID by SKG,BS,6/9/10,1,bolus 1,983
